,brand,model,price,biz30day,total_sold_price
0,wmf,04 1627 0011,132.0,13.0,1716.0
1,bear/小熊,JBQ-D131,138.0,379.0,52433.0
2,wmf,04.1635.9911,728.0,1.0,728.0
3,欧八,欧八HL-A,168.0,23.0,3864.0
4,韩伟,M780,399.0,6.0,2394.0
5,bear/小熊,JBQ-D1355,112.0,1111.0,125247.0
6,bear/小熊,LB-P919,1884.0,251.0,472980.0
7,bear/小熊,LB-P928,2180.0,1.0,2180.0
8,bosch/博世,MSM2410,294.0,4.0,1176.0
9,bosch/博世,MSM66020,389.0,2.0,778.0
10,领锐,SY250C,88.0,1.0,88.9
11,bosch/博世,MSME6110CN,580.0,11.0,6389.0
12,bosch/博世,MSME7414CN,924.0,4.0,3696.0
13,bosch/博世,MSMM8910CN,1949.0,3.0,5847.0
14,braun/博朗, 4179,399.0,2.0,798.0
15,bear/小熊,JBQ-D05A1,298.0,199.0,59423.0
16,bear/小熊,JBQ-D05D2,206.0,818.0,169145.25
17,supor/苏泊尔,JP10DA-1300,699.0,16.0,11184.0
18,joyoung/九阳, JYL-C051,72.0,13157.0,948801.19
19,braun/博朗, MQ5035,899.0,7.0,6293.0
20,hattiecs/海蒂诗,RBM-775,369.0,1057.0,390033.0
21,家必康,2160,198.0,1.0,198.0
22,隆粤,B717,399.0,18.0,7182.0
23,bear/小熊,QSJ-B02U2,111.0,8389.0,939351.0
24,jeff/杰孚,FX-A5,398.0,2.0,796.0
25,韩伟,M730,499.0,2.0,998.0
26,joyoung/九阳, JYL-Y6,699.0,3.0,2097.0
27,德能,BL-13A,199.0,3.0,597.0
28,bear/小熊,JBQ-A05D2,184.0,3424.0,630824.0
29,joyoung/九阳, JYL-Y92,759.0,1.0,759.0
30,joyoung/九阳, L3-C1,94.0,8.0,752.0
31,bear/小熊,QSJ-B02X5,163.0,5979.0,977828.25
32,kaiso/凯索,8800,99.0,5.0,498.0
33,blendtec,DESIGNER 625,5999.0,2.0,11998.0
34,aca/北美电器,AF-OR01,99.0,139.0,13761.0
35,bosch/博世,MFZ4050,240.0,4.0,960.0
36,clara,MST-PBJ-V30,559.0,5.0,2795.0
37,kambrook,搅拌机,299.0,11.0,3289.0
38,climax/客来美,HA-3093,159.0,2.0,318.0
39,minimei,HMM-203,169.0,11.0,1859.0
40,amoi/夏新,TL-GB990,699.0,1.0,699.0
41,kenwood/建伍,CH580,358.0,2.0,716.0
42,kenwood/建伍,HDP306WH,649.0,1.0,649.0
43,kenwood/建伍,HDP404WH,960.0,14.0,13440.0
44,aunt mary/玛莉阿姨,HL-1898,302.0,908.0,274804.0
45,kenwood/建伍,KM336,1999.0,23.0,45977.0
46,kenwood/建伍,SMP060,438.0,19.0,8334.0
47,kitchenaid,5QT 原装盆,144.0,1.0,144.0
48,joyoung/九阳, JYL-C012,127.0,8661.0,1104524.0
49,dark horse/黑马,KM-699,459.0,8.0,3672.0
50,joyoung/九阳, JYL-C022,191.0,2762.0,528005.0
51,krobell/康贝尔,6288,218.0,2.0,436.0
52,bamix,M200,1791.0,41.0,73444.0
53,bamix,UNOLD ESGE,1659.0,4.0,6639.8
54,barsone/朋森,BS-05L01,2099.0,3.0,6297.0
55,1号宝贝,OUYOU0011,68.0,96.0,6604.8
56,aca/北美电器,55522,94.0,1.0,94.8
57,aca/北美电器,AHM-S300,199.0,17.0,3383.0
58,philips/飞利浦, HR1672,769.0,6.0,4614.0
59,ashton/阿诗顿,BL-175,1980.0,319.0,631620.0
60,aunt mary/玛莉阿姨,HL-1888,369.0,292.0,107748.0
61,aux/奥克斯,HX-390,90.0,72.0,6488.0
62,philips/飞利浦, HR1673,658.0,1.0,658.0
63,aux/奥克斯,HX-401G,98.0,16.0,1583.8
64,aux/奥克斯,HX-FS01,284.0,4.0,1136.0
65,bamix,G200 350,1279.0,125.0,159875.0
66,bamix,G200 G350,1238.0,257.0,318185.03
67,bear/小熊,LLJ-A05H1,143.0,11.0,1578.0
68,philips/飞利浦, HR2056/00,178.0,1.0,178.0
69,bear/小熊,LLJ-A12A1,200.0,281.0,56439.0
70,bear/小熊,LLJ-B08D1,139.0,13.0,1807.0
71,bear/小熊,LLJ-A12G1,218.0,80.0,17476.0
72,bear/小熊,LLJ-A12Q3,168.0,223.0,37495.0
73,bear/小熊,LLJ-A12W8,198.0,104.0,20614.0
74,bear/小熊,LLJ-B08G2,98.0,327.0,32271.0
75,krups,HP503180,12800.0,2.0,25600.0
76,bear/小熊,LLJ-B08J5,88.0,145.0,12830.0
77,bear/小熊,LLJ-B12A1,297.0,108.0,32152.0
78,bear/小熊,LLJ-B12K1,138.0,460.0,63807.0
79,bear/小熊,QSJ-A01F2,163.0,756.0,123968.0
80,bear/小熊,QSJ-A03A1,128.0,134.0,17253.0
81,bear/小熊,QSJ-B02S1,187.0,416.0,78046.0
82,bosch/博世,MMBS67GMCN,1311.0,8.0,10492.0
83,bear/小熊,QSJ-B03D1,188.0,125.0,23556.0
84,bear/小熊,QSJ-B03R2,298.0,52.0,15540.0
85,binglo,HS-302H,798.0,15.0,11970.0
86,bosch/博世,54A00,1144.0,28.0,32037.0
87,skg,1293,299.0,17.0,5083.0
88,braun/博朗, FP3010,924.0,107.0,98904.0
89,braun/博朗, JB7192,1599.0,2.0,3198.0
90,braun/博朗, JM3013,399.0,4.0,1596.0
91,braun/博朗, MQ300,204.0,2395.0,489162.75
92,braun/博朗, MQ3000,368.0,79.0,29113.4
93,braun/博朗, MQ3025,381.0,1405.0,535485.0
94,braun/博朗, MQ325,243.0,267.0,64987.44
95,braun/博朗, MQ500,345.0,19.0,6566.4
96,braun/博朗, MQ5025,518.0,4825.0,2500787.25
97,braun/博朗, MQ505,328.0,2653.0,872569.0
98,braun/博朗, MQ525,374.0,299.0,111829.79
99,braun/博朗, MQ530,469.0,17.0,7973.0
100,braun/博朗, MQ545,436.0,559.0,244014.0
101,braun/博朗, MQ700,660.0,34.0,22440.0
102,braun/博朗, MQ700料理机配件,187.0,4.0,751.8
103,braun/博朗, MQ705,701.0,60.0,42079.6
104,braun/博朗, MQ745/MQ785,693.0,26.0,18030.25
105,braun/博朗, MQ785,756.0,6.0,4538.1
106,braun/博朗, MQ787,1501.0,57.0,85605.0
107,braun/博朗, MQ9087X,2289.0,30.0,68699.0
108,clara,XD-K20E,296.0,15.0,4452.0
109,long plus,60,279.0,27.0,7533.0
110,deass/德氏,FE318F1,298.0,5.0,1490.0
111,electrolux/伊莱克斯,EMB3005,256.0,71.0,18239.0
112,fagor/法格,BV-373B,499.0,242.0,120758.0
113,fagor/法格,BV-375KNA,699.0,5.0,3495.0
114,fornonr/方奈优品,FN-800,798.0,801.0,639198.0
115,fronton/弗朗顿,JB-1525AG,528.0,3.0,1584.0
116,fronton/弗朗顿,MNS-PB106,209.0,83.0,17347.0
117,fulaier/福莱尔,FLE-219C,188.0,21.0,3948.0
118,german pool/德国宝,PRO-10,2999.0,61.0,182939.0
119,fulaier/福莱尔,FLE-219F,188.0,6.0,1128.0
120,fulaier/福莱尔,FLE518A,98.0,307.0,30086.0
121,hap/韩派,M400,368.0,3.0,1104.0
122,fxunshi/华迅仕,MD-8500A,99.0,30.0,2970.0
123,gemside/捷赛,JSP01,899.0,1.0,899.0
124,hattiecs/海蒂诗,AJ-5123,79.0,14.0,1106.0
125,hattiecs/海蒂诗,RBM-728,699.0,23.0,16077.0
126,haier/海尔,HBB-B0105,169.0,1.0,169.0
127,herpusi,HC-1500,189.0,33.0,6237.0
128,herpusi,HC-302Q,99.0,2.0,198.0
129,herpusi,HD-175A,388.0,8.0,3104.0
130,hgsuper,HG7701,173.0,146.0,25258.0
131,hgsuper,HG7702,58.0,1478.0,86906.4
132,home-mill/好磨家,HMJ-1001,82.0,135.0,11178.0
133,hyundai/现代,089,118.0,7.0,831.6
134,hyundai/现代,QC-JR089,139.0,1.0,139.0
135,luby/洛贝,LBL-SL01,419.0,6.0,2514.0
136,jese/洁氏,JS-100G,3980.0,2.0,7960.0
137,jese/洁氏,JS-100Y,2880.0,2.0,5760.0
138,joyoung/九阳, JYL-C020E,158.0,10964.0,1736691.0
139,joyoung/九阳, C020E,135.0,7.0,945.0
140,joyoung/九阳, C91T,89.0,969.0,86241.0
141,joyoung/九阳, JYB-F1,179.0,7.0,1253.0
142,joyoung/九阳, JYL-C010,133.0,289.0,38621.0
143,joyoung/九阳, JYL-C012料理机,100.0,46.0,4609.2
144,joyoung/九阳, JYL-C020E料理机,149.0,23.0,3427.0
145,joyoung/九阳, JYL-C022E,187.0,394.0,73891.0
146,mcdou/麦豆,FSJD2,478.0,17.0,8126.0
147,joyoung/九阳, JYL-C051料理机,75.0,1154.0,86550.0
148,meichen/美星晨,MXC-02,288.0,582.0,167907.0
149,joyoung/九阳, JYL-C16D,106.0,4.0,424.4
150,joyoung/九阳, JYL-C16V,166.0,34.0,5656.0
151,joyoung/九阳, JYL-C19V,139.0,70.0,9730.0
152,joyoung/九阳, JYL-C50T,109.0,1859.0,202643.33
153,joyoung/九阳, JYL-C50T料理机,99.0,9.0,891.0
154,joyoung/九阳, JYL-C902D,199.0,4.0,796.0
155,joyoung/九阳, JYL-C91T料理机,88.0,412.0,36256.0
156,joyoung/九阳, JYL-D020,197.0,2267.0,447593.0
157,joyoung/九阳, JYL-D022,232.0,105.0,24375.0
158,midea/美的, BL25B31,195.0,22.0,4310.0
159,joyoung/九阳, JYL-F901,155.0,200.0,31015.0
