,brand,model,sku
0,wmf,04 1627 0011,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '塑料杯款0416270011 不锈钢杯款0416410011'}"
1,bear/小熊,JBQ-D131,"{'产品功能': '榨汁\xa0切菜\xa0干磨\xa0搅拌\xa0打蛋', '适用人数': '1-3人', '颜色分类': '紫色'}"
2,wmf,04.1635.9911,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '手持式多功能料理机'}"
3,欧八,欧八HL-A,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
4,韩伟,M780,"{'产品功能': '鱼汤\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '香槟金'}"
5,bear/小熊,JBQ-D1355,"{'产品功能': '榨汁 搅拌 打蛋 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '紫色'}"
6,bear/小熊,LB-P919,"{'产品功能': '豆浆 浓汤 米糊\xa0榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
7,bear/小熊,LB-P928,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '金色'}"
8,bosch/博世,MSM2410,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '蓝色'}"
9,bosch/博世,MSM66020,"{'产品功能': '榨汁\xa0搅拌', '适用人数': '1-3人', '颜色分类': '白色'}"
10,领锐,SY250C,"{'产品功能': '榨汁\xa0干磨\xa0搅拌\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '绿色'}"
11,bosch/博世,MSME6110CN,"{'产品功能': '切菜\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
12,bosch/博世,MSME7414CN,"{'产品功能': '搅拌\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
13,bosch/博世,MSMM8910CN,"{'产品功能': '切菜\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '黑色'}"
14,braun/博朗, 4179,"{'产品功能': '搅拌\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '绿色'}"
15,bear/小熊,JBQ-D05A1,"{'产品功能': '榨汁\xa0干磨\xa0搅拌\xa0绞肉\xa0切丝 切片', '适用人数': '5人及以上', '颜色分类': '褐色'}"
16,bear/小熊,JBQ-D05D2,"{'产品功能': '婴儿辅食 老人食物泥 宝宝食物\xa0榨汁\xa0切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '褐色'}"
17,supor/苏泊尔,JP10DA-1300,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
18,joyoung/九阳, JYL-C051,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': 'C051'}"
19,braun/博朗, MQ5035,"{'产品功能': '榨汁\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '灰色'}"
20,hattiecs/海蒂诗,RBM-775,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '至尊红 流光金'}"
21,家必康,2160,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
22,隆粤,B717,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '玫瑰金'}"
23,bear/小熊,QSJ-B02U2,"{'产品功能': '榨汁\xa0切菜\xa0制奶昔\xa0绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
24,jeff/杰孚,FX-A5,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0制奶昔', '适用人数': '4-5人', '颜色分类': '黑色'}"
25,韩伟,M730,"{'产品功能': '豆浆\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-6人', '颜色分类': '红色'}"
26,joyoung/九阳, JYL-Y6,"{'产品功能': '酱汁、冰沙、浓汤、坚果\xa0榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '黄色'}"
27,德能,BL-13A,"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔', '适用人数': '5人及以上', '颜色分类': '紫色'}"
28,bear/小熊,JBQ-A05D2,"{'产品功能': '榨汁 切菜 绞肉 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '咖啡色'}"
29,joyoung/九阳, JYL-Y92,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
30,joyoung/九阳, L3-C1,"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '白色'}"
31,bear/小熊,QSJ-B02X5,"{'产品功能': '榨汁\xa0切菜\xa0制奶昔\xa0绞肉', '适用人数': '1-3人', '颜色分类': '绿色'}"
32,kaiso/凯索,8800,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '香槟金'}"
33,blendtec,DESIGNER 625,"{'产品功能': '榨汁 碎冰', '适用人数': '5人及以上', '颜色分类': '白色'}"
34,aca/北美电器,AF-OR01,"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '熏衣紫'}"
35,bosch/博世,MFZ4050,"{'产品功能': '混合', '适用人数': '1-3人', '颜色分类': '开发票MQ300 开发票MQ325'}"
36,clara,MST-PBJ-V30,"{'产品功能': '榨汁 碎冰 干磨 搅拌 混合', '适用人数': '1-3人', '颜色分类': '红色'}"
37,kambrook,搅拌机,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '银色'}"
38,climax/客来美,HA-3093,"{'产品功能': '搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '黑色'}"
39,minimei,HMM-203,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '紫色'}"
40,amoi/夏新,TL-GB990,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔', '适用人数': '4-5人', '颜色分类': '红色'}"
41,kenwood/建伍,CH580,"{'产品功能': '切菜 绞肉 碎冰 搅拌 混合', '适用人数': '1-3人', '颜色分类': '银色'}"
42,kenwood/建伍,HDP306WH,"{'产品功能': '榨汁\xa0绞肉\xa0搅拌\xa0打蛋\xa0混合', '适用人数': '5人及以上', '颜色分类': '灰色'}"
43,kenwood/建伍,HDP404WH,"{'产品功能': '切菜\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
44,aunt mary/玛莉阿姨,HL-1898,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '红色'}"
45,kenwood/建伍,KM336,"{'产品功能': '搅拌\xa0和面\xa0打蛋\xa0混合', '适用人数': '4-5人', '颜色分类': '白色'}"
46,kenwood/建伍,SMP060,"{'产品功能': '榨汁 干磨 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
47,kitchenaid,5QT 原装盆,"{'产品功能': '榨汁 切菜 绞肉 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': 'C012(三杯） C16D(一杯） C16V(三杯）'}"
48,joyoung/九阳, JYL-C012,"{'产品功能': '榨汁 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': 'C012(三杯） C16D(一杯） C16V(三杯）'}"
49,dark horse/黑马,KM-699,"{'产品功能': '榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '香槟金'}"
50,joyoung/九阳, JYL-C022,"{'产品功能': '绞肉\xa0碎冰\xa0干磨\xa0搅拌', '适用人数': '2-4人', '颜色分类': '白色'}"
51,krobell/康贝尔,6288,"{'产品功能': '搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '白色'}"
52,bamix,M200,"{'产品功能': '绞肉 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '红色'}"
53,bamix,UNOLD ESGE,"{'产品功能': '榨汁\xa0搅拌', '适用人数': '4-5人', '颜色分类': '黑色'}"
54,barsone/朋森,BS-05L01,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
55,1号宝贝,OUYOU0011,"{'产品功能': '切菜 搅拌', '适用人数': '1-3人', '颜色分类': '粉色'}"
56,aca/北美电器,55522,"{'产品功能': '搅拌 和面 打蛋 混合', '适用人数': '5人及以上', '颜色分类': '尚友堂奶昔榨汁机（单杯） 尚友堂奶昔榨汁机（双杯） 尚友堂榨汁机4台批发价（单杯） 尚友堂榨汁机8台批发价（单杯）'}"
57,aca/北美电器,AHM-S300,"{'产品功能': '绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '银色'}"
58,philips/飞利浦, HR1672,"{'产品功能': '绞肉 碎冰 搅拌 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '黑色'}"
59,ashton/阿诗顿,BL-175,"{'产品功能': '榨汁 绞肉 碎冰 干磨 制奶昔', '适用人数': '4-5人', '颜色分类': 'L18-Y68双杯 L18-Y68双杯+干磨杯'}"
60,aunt mary/玛莉阿姨,HL-1888,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '红色'}"
61,aux/奥克斯,HX-390,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-4人', '颜色分类': '双刀三杯 特价清仓数量有限'}"
62,philips/飞利浦, HR1673,"{'产品功能': '绞肉\xa0搅拌\xa0打蛋', '适用人数': '5人及以上', '颜色分类': '黑色'}"
63,aux/奥克斯,HX-401G,"{'产品功能': '豆浆\xa0干磨\xa0搅拌', '适用人数': '1-4人', '颜色分类': '橙色'}"
64,aux/奥克斯,HX-FS01,"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '黄色'}"
65,bamix,G200 350,"{'产品功能': '绞肉 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '紫色'}"
66,bamix,G200 G350,"{'产品功能': '切菜\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '红色'}"
67,bear/小熊,LLJ-A05H1,"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '绿色'}"
68,philips/飞利浦, HR2056/00,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': '粉色 紫色'}"
