,brand,model,operation_mode,feed_opening_shape,body_material,liner_material,applicable_number,power,cooking_function,function,capacity,speed_adjustment,type,cup_material,speed,status
0,peskoe/半球,HB-M301,,圆形,不锈钢,,,,,"搅拌,榨汁,碎肉",,,,,,0
1,midea/美的,MJ-WJS20A36,,,,,,,,,,,,,,0
2,madin/麦登,MD-186T,,,,,,,,搅拌,,,,,,0
3,每时乐,MSL-2008E,,,,,,,,,,无速度选择,,,,0
4,民杭,DL-003,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,玻璃,45000-49999转/分钟,0
5,韩代,HD-PB523,,,,,4-5人,,,"搅拌,榨汁",,,,玻璃,45000-49999转/分钟,0
6,royalstar/荣事达,RZ-1508E,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.7L容量,,,玻璃,30000-34999转/分钟,0
7,royalstar/荣事达,RZ-1508A,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,打蛋,碎冰,榨汁,干磨",1.75L容量,,,玻璃,30000-34999转/分钟,0
8,rosenstein&sohne,NC3713,,圆形,钢琴烤漆,,,,,榨汁,0.6L容量,,,Tritan材料,,0
9,ergo chef,CHEF BLMJ40137,,圆形,不锈钢,,,,,"绞肉,榨汁,制奶昔,研磨,豆浆",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
10,zkd/中科电,CUP1,,圆形,不锈钢,,,,,"搅拌,和面,制奶昔,打蛋,碎冰,榨汁",0.28L容量,,,玻璃,20000-24999转/分钟,0
11,deerma/德尔玛,A9,,圆形,塑料,,,,,"搅拌,榨汁",0.42L容量,,,玻璃,25000-29999转/分钟,0
12,colvp/口吕品,L813,,圆形,不锈钢,,,,,榨汁,0.5L容量,,,塑料,20000-24999转/分钟,0
13,ronshen/容声,AS-818,,圆形,塑料,,,,,"搅拌,榨汁",1.5L容量,,,塑料,20000-24999转/分钟,0
14,royalstar/荣事达,RZ-398B,,圆形,食品级PC,,,,,榨汁,0.6L容量,,,塑料,20000-24999转/分钟,0
15,joyoung/九阳,JYZ-D02,,圆形,塑料,,,,,"搅拌,榨汁,干磨,绞肉",,,,塑料,20000-24999转/分钟,0
16,aux/奥克斯,AS-819,,圆形,不锈钢,,,,,"搅拌,榨汁,豆浆",0.6L容量,,,塑料,15000-19999转/分钟,0
17,anmir/安蜜尔,AMR501A,,圆形,塑料,,,,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.6L容量,,,塑料,15000-19999转/分钟,0
18,众辰,ZC-B,,圆形,,,,,,"碎冰,碎肉,榨汁,干磨,搅拌",0.6L容量,,,塑料,25000-29999转/分钟,0
19,tonze/天际,DZJ-W965B,,月牙形,塑料,,,,,"搅拌,制奶昔,榨汁",1.2L容量,,,塑料,0-4999转/分钟,0
20,jeff/杰孚,FX-A16,,,,,4-5人,1800-2000W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",2.5L容量,,,食品级PC材料,45000-49999转/分钟,0
21,健康莱,K6,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,破壁机,绞肉,碎冰,干磨",2L容量,2档以上,,食品级PC材料,35000-39999转/分钟,0
22,cuore,YXG-330,,,,,1-3人,,,"碎冰,碎肉,切菜,和面,搅拌",,,,,,0
23,electrolux/伊莱克斯,EBR100,,,,,1-3人,,,搅拌,,,,,,0
24,jbo/进宝,HAY -808,,,,,1-3人,,,"碎肉,搅拌,制奶昔,混合,绞肉,榨汁",,,,,,0
25,巴泰克,BTC-435,,,,,,1400W-1600W,,"搅拌,冰沙,豆浆,果汁",,,,食品级PC材料,25000-29999转/分钟,0
26,fronton/弗朗顿,MNS-PB106,,圆形,塑料,,,1400W-1600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",2L容量,,,食品级PC材料,40000-44999转/分钟,0
27,topchef/顶厨,TOP-1083,,,,,5人以上,1400W-1600W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",5l容量,2档以上,,不锈钢,10000-14999转/分钟,0
28,力丰,B15,,,,,5人以上,400-600W,,"打蛋,搅拌,和面",,,,不锈钢,30000-34999转/分钟,0
29,xeyhome/欣宜家,XY-783,,圆形,不锈钢,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",0.6L容量,2档以上,,Tritan材料,20000-24999转/分钟,0
30,米技,MB-1119,,圆形,,,1-3人,200-400W,,"碎冰,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
