,brand,model,biz30day,total_sold_price,submarket,target_score,sku
0,wmf,04 1627 0011,13.0,1716.0,{'4': '婴儿辅食'},{'服务': {'包装': 1.0}},"{'产品功能': '榨汁 碎冰 搅拌 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '塑料杯款0416270011 不锈钢杯款0416410011'}"
1,bear/小熊,JBQ-D131,379.0,52433.0,"{'4': '婴儿辅食', '7': '手持'}","{'功能': {'功率': 1.0, '小米': 0.0, '果汁': 0.0, '榨汁': 1.0, '水果': -1.0, '渣渣': 1.0, '用途': 1.0, '破壁': 1.0, '米糊': 2.0, '粉末': 1.0, '紫薯': 0.0, '纸盒': -1.0, '苹果': 1.0, '辅食': 4.0, '咖啡豆': 1.0, '番茄汁': 1.0, '芹菜汁': 1.0}, '服务': {'亲们': 1.0, '包装': 10.0, '卖家': 2.0, '好评': 1.0, '客服': 4.0, '态度': 6.0, '果泥': 1.0, '白熊': 1.0, '老客户': 1.0, '说明书': 2.0, '服务态度': 5.0}, '款式': {'大小': 1.0, '颜色': 1.0, '很漂亮': 1.0}, '质量': {'噪音': 3.0, '声音': 18.0, '外壳': 1.0, '实物': 0.0, '性能': -1.0, '挺好': 2.0, '质量': 26.0, '塑料味': 0.0, '实用性': 1.0}}","{'产品功能': '榨汁\xa0切菜\xa0干磨\xa0搅拌\xa0打蛋', '适用人数': '1-3人', '颜色分类': '紫色'}"
2,wmf,04.1635.9911,1.0,728.0,"{'4': '婴儿辅食', '7': '手持'}",,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '手持式多功能料理机'}"
3,欧八,欧八HL-A,23.0,3864.0,{'3': '全自动'},,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
4,韩伟,M780,6.0,2394.0,"{'3': '全自动', '4': '婴儿辅食'}","{'质量': {'声音': 1.0, '质量': 1.0}}","{'产品功能': '鱼汤\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '香槟金'}"
5,bear/小熊,JBQ-D1355,1111.0,125247.0,"{'4': '婴儿辅食', '5': '小容量', '7': '手持'}","{'功能': {'一块': -1.0, '两用': 1.0, '出汁': 3.0, '功率': 8.0, '南瓜': -1.0, '奶油': 4.0, '手打': 1.0, '打蛋': 6.0, '效率': 1.0, '早餐': 1.0, '木瓜': 1.0, '果汁': 8.0, '果粒': 1.0, '果肉': 1.0, '桃泥': -1.0, '榨汁': 8.0, '橙子': 0.0, '水果': 6.0, '渣渣': 2.0, '熟肉': -1.0, '用途': 0.0, '米粉': 0.0, '米糊': 6.0, '纤维': 1.0, '肉松': 1.0, '苹果': -1.0, '菜泥': 1.0, '蔬菜': 2.0, '蛋液': 1.0, '蛋糕': 2.0, '西瓜': 1.0, '转速': 0.0, '辅食': 11.0, '雪糕': 1.0, '零食': 1.0, '食材': -3.0, '食物': 4.0, '香蕉': 4.0, '鱼丸': 1.0, '内包装': 1.0, '功能性': 1.0, '打蛋器': 6.0, '打鸡蛋': 2.0, '效率高': 1.0, '榨汁机': 1.0, '研磨机': 1.0, '胡萝卜': -1.0, '苹果汁': 1.0, '苹果泥': 2.0, '蔬菜泥': 1.0, '西兰花': -1.0, '西瓜汁': 4.0, '速度快': 3.0, '银耳羹': 1.0, '香蕉泥': 2.0, '省时省力': 1.0, '胡萝卜汁': 1.0}, '服务': {'买家': 1.0, '五星': 1.0, '亲们': 1.0, '信誉': 2.0, '包装': 77.0, '卖家': 18.0, '好评': 12.0, '客服': 32.0, '差评': -4.0, '店家': 3.0, '态度': 39.0, '换货': -1.0, '果泥': 6.0, '淘宝': -1.0, '盒子': -1.0, '箱子': -1.0, '素质': -1.0, '赠品': 0.0, '包装盒': -1.0, '外包装': -2.0, '店主人': 1.0, '老客户': 2.0, '说明书': 0.0, '售后服务': 5.0, '有问必答': 1.0, '服务态度': 41.0}, '款式': {'个子': 1.0, '体积': 3.0, '分量': -1.0, '外型': 1.0, '外形': 2.0, '够大': 1.0, '大小': 1.0, '手感': 7.0, '机身': 1.0, '款式': 1.0, '神器': 1.0, '紫色': 1.0, '色彩': 1.0, '颜值': 4.0, '颜色': 16.0, '很漂亮': 4.0, '外观设计': 1.0}, '质量': {'刀头': 0.0, '刀子': 2.0, '原料': -1.0, '厨房': 1.0, '商品': 4.0, '噪声': 2.0, '噪音': 5.0, '声音': 69.0, '实物': 3.0, '小块': 1.0, '岁数': 1.0, '工艺': -1.0, '开关': -1.0, '很沉': 2.0, '成品': 1.0, '挺好': 45.0, '挺棒': 1.0, '料子': 1.0, '杯盖': 0.0, '气味': -1.0, '烂烂': 1.0, '烫手': -1.0, '物美': 1.0, '玻璃': 1.0, '用料': 0.0, '电线': 1.0, '盖子': 0.0, '细点': 1.0, '缝隙': 2.0, '芡实': -1.0, '质量': 196.0, '贴合': 1.0, '黏稠': 1.0, '塑料味': 1.0, '实用性': 1.0, '密封圈': 1.0, '电源线': 1.0, '试一下': 2.0}}","{'产品功能': '榨汁 搅拌 打蛋 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '紫色'}"
6,bear/小熊,LB-P919,251.0,472980.0,"{'4': '婴儿辅食', '6': '智能'}",,"{'产品功能': '豆浆 浓汤 米糊\xa0榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
7,bear/小熊,LB-P928,1.0,2180.0,"{'3': '全自动', '4': '婴儿辅食', '6': '智能'}",,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '金色'}"
8,bosch/博世,MSM2410,4.0,1176.0,"{'4': '婴儿辅食', '7': '手持'}","{'质量': {'噪音': -1.0, '质量': 1.0}}","{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '蓝色'}"
9,bosch/博世,MSM66020,2.0,778.0,"{'4': '婴儿辅食', '7': '手持'}",,"{'产品功能': '榨汁\xa0搅拌', '适用人数': '1-3人', '颜色分类': '白色'}"
