,brand,model,tag,target,grade,frequency
0,joyoung/九阳, JYL-C50T,质量,声音,1,1.0
1,joyoung/九阳, JYL-C50T,质量,声音,-1,3.0
2,joyoung/九阳, JYL-C50T,质量,声音,1,7.0
3,joyoung/九阳, JYL-C50T,质量,声音,-1,1.0
4,joyoung/九阳, JYL-C50T,质量,噪音,1,1.0
5,joyoung/九阳, JYL-C50T,物流,物流,1,2.0
6,joyoung/九阳, JYL-C50T,物流,物流,1,1.0
7,joyoung/九阳, JYL-C50T,物流,物流,1,1.0
8,joyoung/九阳, JYL-C50T,质量,质量,1,1.0
9,joyoung/九阳, JYL-C50T,质量,质量,1,1.0
10,joyoung/九阳, JYL-C50T,服务,服务态度,1,1.0
11,joyoung/九阳, JYL-C50T,质量,挺好,1,1.0
12,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,3.0
13,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,1.0
14,joyoung/九阳, JYL-C50T,价格,价格,1,1.0
15,joyoung/九阳, JYL-C50T,价格,价格,1,1.0
16,joyoung/九阳, JYL-C50T,价格,价格,1,1.0
17,joyoung/九阳, JYL-C50T,价格,价格,1,1.0
18,joyoung/九阳, JYL-C50T,价格,价钱,1,1.0
19,joyoung/九阳, JYL-C50T,功能,功能,1,1.0
20,joyoung/九阳, JYL-C50T,服务,包装,1,1.0
21,joyoung/九阳, JYL-C50T,品牌,牌子,1,1.0
22,joyoung/九阳, JYL-C50T,功能,苹果,1,1.0
23,joyoung/九阳, JYL-C50T,服务,说明书,1,1.0
24,joyoung/九阳, JYL-C50T,质量,耗电量,1,1.0
25,joyoung/九阳, JYL-C50T,服务,淘宝,1,1.0
26,joyoung/九阳, JYL-C50T,服务,卖家,1,2.0
27,joyoung/九阳, JYL-C50T,质量,噪声,1,1.0
28,joyoung/九阳, JYL-C50T,服务,客服,1,1.0
29,joyoung/九阳, JYL-C50T,服务,客服,1,1.0
30,joyoung/九阳, JYL-C50T,服务,客服,1,1.0
31,joyoung/九阳, JYL-C50T,服务,好评,1,2.0
32,joyoung/九阳, JYL-C50T,服务,好评,1,1.0
33,joyoung/九阳, JYL-C50T,物流,物流,1,5.0
34,joyoung/九阳, JYL-C50T,物流,物流,-1,1.0
35,joyoung/九阳, JYL-C50T,物流,物流,1,2.0
36,joyoung/九阳, JYL-C50T,质量,质量,1,5.0
37,joyoung/九阳, JYL-C50T,质量,质量,1,3.0
38,joyoung/九阳, JYL-C50T,质量,质量,-1,1.0
39,joyoung/九阳, JYL-C50T,质量,质量,1,1.0
40,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,5.0
41,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,1.0
42,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,5.0
43,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,1.0
44,joyoung/九阳, JYL-C50T,功能,榨汁,1,2.0
45,joyoung/九阳, JYL-C50T,功能,榨汁,1,1.0
46,joyoung/九阳, JYL-C50T,质量,声音,1,10.0
47,joyoung/九阳, JYL-C50T,质量,声音,1,1.0
48,joyoung/九阳, JYL-C50T,质量,声音,-1,4.0
49,joyoung/九阳, JYL-C50T,质量,声音,-1,1.0
50,joyoung/九阳, JYL-C50T,服务,服务态度,1,1.0
51,joyoung/九阳, JYL-C50T,服务,服务态度,1,1.0
52,joyoung/九阳, JYL-C50T,服务,服务态度,1,2.0
53,joyoung/九阳, JYL-C50T,服务,卖家,1,1.0
54,joyoung/九阳, JYL-C50T,服务,包装,1,1.0
55,joyoung/九阳, JYL-C50T,服务,包装,1,1.0
56,joyoung/九阳, JYL-C50T,质量,噪音,-1,1.0
57,joyoung/九阳, JYL-C50T,质量,噪音,1,1.0
58,joyoung/九阳, JYL-C50T,功能,果汁,1,1.0
59,joyoung/九阳, JYL-C50T,价格,价格,1,1.0
60,joyoung/九阳, JYL-C50T,款式,外观,1,1.0
61,joyoung/九阳, JYL-C50T,款式,外观,1,1.0
62,joyoung/九阳, JYL-C50T,质量,挺好,1,1.0
63,joyoung/九阳, JYL-C50T,质量,挺好,1,1.0
64,joyoung/九阳, JYL-C50T,服务,店家,1,1.0
65,joyoung/九阳, JYL-C50T,价格,性价比,1,1.0
66,joyoung/九阳, JYL-C50T,功能,早餐,1,1.0
67,joyoung/九阳, JYL-C50T,款式,样式,1,1.0
68,joyoung/九阳, JYL-C50T,价格,价钱,1,1.0
69,joyoung/九阳, JYL-C50T,功能,水果,-1,1.0
70,joyoung/九阳, JYL-C50T,质量,实物,1,1.0
71,joyoung/九阳, JYL-C50T,质量,商品,1,1.0
72,joyoung/九阳, JYL-C50T,适用人群,孩子,1,1.0
73,joyoung/九阳, JYL-C50T,品牌,大品牌,1,1.0
74,joyoung/九阳, JYL-C50T,款式,外形,1,1.0
75,joyoung/九阳, JYL-C50T,质量,细度,1,1.0
76,joyoung/九阳, JYL-C50T,质量,吸附力,1,1.0
77,joyoung/九阳, JYL-C50T,功能,小帮手,1,1.0
78,joyoung/九阳, JYL-C50T,物流,物流,1,1.0
79,joyoung/九阳, JYL-C50T,质量,质量,1,1.0
80,joyoung/九阳, JYL-C50T,服务,服务态度,1,1.0
81,joyoung/九阳, JYL-C50T,款式,很漂亮,1,1.0
82,joyoung/九阳, JYL-C50T,活动,小物件,1,1.0
83,joyoung/九阳, JYL-C50T,价格,性价比,1,1.0
84,joyoung/九阳, JYL-C50T,功能,榨汁,1,1.0
85,joyoung/九阳, JYL-C50T,适用人群,宝贝,1,1.0
86,joyoung/九阳, JYL-C50T,功能,豆浆,1,1.0
87,joyoung/九阳, JYL-C50T,功能,过滤网,-1,1.0
88,joyoung/九阳, JYL-C50T,活动,礼品,1,1.0
89,joyoung/九阳, JYL-C50T,服务,店家,1,1.0
90,joyoung/九阳, JYL-C50T,功能,果汁,1,1.0
91,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,2.0
92,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,1.0
93,midea/美的, MJ-WBL2501B,质量,质量,1,3.0
94,midea/美的, MJ-WBL2501B,质量,声音,1,2.0
95,midea/美的, MJ-WBL2501B,质量,声音,1,2.0
96,midea/美的, MJ-WBL2501B,质量,声音,-1,1.0
97,midea/美的, MJ-WBL2501B,质量,声音,-1,1.0
98,midea/美的, MJ-WBL2501B,质量,声音,1,1.0
99,midea/美的, MJ-WBL2501B,功能,果汁,1,1.0
100,midea/美的, MJ-WBL2501B,物流,物流,1,1.0
101,midea/美的, MJ-WBL2501B,功能,功能,1,1.0
102,midea/美的, MJ-WBL2501B,款式,外观,1,2.0
103,midea/美的, MJ-WBL2501B,服务,服务态度,1,1.0
104,midea/美的, MJ-WBL2501B,服务,服务态度,1,2.0
105,midea/美的, MJ-WBL2501B,质量,挺好,1,1.0
106,midea/美的, MJ-WBL2501B,价格,性价比,1,1.0
107,midea/美的, MJ-WBL2501B,服务,包装,1,2.0
108,midea/美的, MJ-WBL2501B,功能,榨汁机,1,1.0
109,midea/美的, MJ-WBL2501B,功能,榨汁,1,1.0
110,midea/美的, MJ-WBL2501B,服务,客服,1,1.0
111,midea/美的, MJ-WBL2501B,功能,水果,1,1.0
112,midea/美的, MJ-WBL2501B,款式,很漂亮,1,1.0
113,midea/美的, MJ-WBL2501B,质量,声音,-1,1.0
114,midea/美的, MJ-WBL2501B,价格,价格,1,1.0
115,midea/美的, MJ-WBL2501B,服务,客服,1,1.0
116,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,1.0
117,midea/美的, MJ-WBL2501B,功能,辅食,1,1.0
118,midea/美的, MJ-WBL2501B,服务,服务态度,1,1.0
119,midea/美的, MJ-WBL2501B,功能,黄瓜汁,1,1.0
120,midea/美的, MJ-WBL2501B,价格,价钱,1,1.0
121,midea/美的, MJ-WBL2501B,质量,声音,1,3.0
122,midea/美的, MJ-WBL2501B,物流,物流,1,1.0
123,midea/美的, MJ-WBL2501B,适用人群,宝贝,1,1.0
124,midea/美的, MJ-WBL2501B,质量,质量,1,1.0
125,midea/美的, MJ-WBL2501B,质量,质量,1,1.0
126,midea/美的, MJ-WBL2501B,质量,质量,1,1.0
127,midea/美的, MJ-WBL2501B,服务,包装,1,1.0
128,midea/美的, MJ-WBL2501B,服务,服务态度,1,1.0
129,midea/美的, MJ-WBL2501B,质量,声音,1,17.0
