,brand-model,1st sm,1st share,2nd sm,2nd share,3rd sm,3rd share,4th sm,4th share,5th sm,5th share,image_url
0,1号宝贝-OUYOU0011,小容量,26.38%,手持,25.24%,婴儿辅食,21.71%,智能,14.87%,全自动,11.81%,http://img.alicdn.com/imgextra/i2/3480261630/TB2hsDSjdnJ8KJjSszdXXaxuFXa_!!3480261630.jpg
1,aca/北美电器-55522,婴儿辅食,23.06%,智能,21.27%,小容量,20.9%,手持,20.39%,全自动,14.37%,http://img.alicdn.com/imgextra/i4/2146937119/TB1ph41sbSYBuNjSspfXXcZCpXa_!!0-item_pic.jpg
2,aca/北美电器-AF-OR01,智能,30.53%,婴儿辅食,21.81%,手持,21.34%,小容量,19.24%,全自动,7.08%,http://img.alicdn.com/imgextra/i1/702016902/TB1oZSGuf1TBuNjy0FjXXajyXXa_!!0-item_pic.jpg
3,aca/北美电器-AHM-S300,智能,24.47%,婴儿辅食,22.81%,手持,19.96%,小容量,19.93%,全自动,12.83%,http://img.alicdn.com/imgextra/i3/1720491245/TB2QoqoppOWBuNjy0FiXXXFxVXa_!!1720491245-0-item_pic.jpg
4,amoi/夏新-TL-GB990,智能,30.81%,婴儿辅食,22.01%,手持,19.2%,小容量,18.18%,全自动,9.81%,http://img.alicdn.com/imgextra/i2/2447836580/TB2j6ULnStYBeNjSspkXXbU8VXa_!!2447836580-0-item_pic.jpg
5,ashton/阿诗顿-BL-175,智能,47.09%,婴儿辅食,25.37%,小容量,13.52%,手持,12.2%,全自动,1.82%,http://img.alicdn.com/imgextra/i3/3071601281/TB2DqAomZjI8KJjSsppXXXbyVXa_!!3071601281.jpg
6,aunt mary/玛莉阿姨-HL-1888,智能,37.13%,婴儿辅食,21.75%,手持,17.59%,小容量,16.79%,全自动,6.74%,http://img.alicdn.com/imgextra/i2/2938915279/TB2WcJ.ouuSBuNjy1XcXXcYjFXa_!!2938915279.jpg
7,aunt mary/玛莉阿姨-HL-1898,智能,37.59%,婴儿辅食,21.77%,手持,17.53%,小容量,16.66%,全自动,6.46%,http://img.alicdn.com/imgextra/i2/2938915279/TB26mnlcr1YBuNjSszhXXcUsFXa_!!2938915279.jpg
8,aux/奥克斯-HX-390,智能,34.15%,婴儿辅食,21.43%,手持,20.6%,小容量,18.84%,全自动,4.99%,http://img.alicdn.com/imgextra/i2/2047124908/TB2iIGZf26H8KJjSspmXXb2WXXa_!!2047124908.jpg
9,aux/奥克斯-HX-401G,婴儿辅食,24.45%,小容量,20.68%,智能,20.44%,手持,19.76%,全自动,14.67%,http://img.alicdn.com/imgextra/i3/1046626823/TB1ywaGcpuWBuNjSszbXXcS7FXa_!!0-item_pic.jpg
10,aux/奥克斯-HX-FS01,智能,25.28%,婴儿辅食,22.66%,手持,19.84%,小容量,19.63%,全自动,12.58%,http://img.alicdn.com/imgextra/i3/732062877/TB2uNO6sYSYBuNjSspfXXcZCpXa_!!732062877-0-item_pic.jpg
11,bamix-G200 350,智能,29.02%,婴儿辅食,22.68%,手持,19.04%,小容量,18.6%,全自动,10.65%,http://img.alicdn.com/imgextra/i2/274764304/TB2P39cmS8mpuFjSZFMXXaxpVXa_!!274764304.jpg
12,bamix-G200 G350,智能,27.13%,婴儿辅食,22.22%,手持,19.55%,小容量,17.85%,全自动,13.24%,http://img.alicdn.com/imgextra/i2/876965799/TB2wUQhsY1YBuNjSszhXXcUsFXa_!!876965799.jpg
13,bamix-M200,智能,37.12%,婴儿辅食,23.49%,小容量,16.22%,手持,14.77%,全自动,8.39%,http://img.alicdn.com/imgextra/i2/210710879/TB27bs3XcIa61Bjy0FiXXc1XpXa_!!210710879.jpg
