,brand-model,1st sm,1st share,2nd sm,2nd share,3rd sm,3rd share,4th sm,4th share,5th sm,5th share,image_url
0,1号宝贝-OUYOU0011,手持,35.39%,小容量,21.61%,婴儿辅食,21.06%,全自动,16.83%,智能,5.11%,http://img.alicdn.com/imgextra/i2/3480261630/TB2hsDSjdnJ8KJjSszdXXaxuFXa_!!3480261630.jpg
1,aca/北美电器-55522,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/2146937119/TB1ph41sbSYBuNjSspfXXcZCpXa_!!0-item_pic.jpg
2,aca/北美电器-AF-B200,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i3/1720491245/TB2LnGgnb1YBuNjSszhXXcUsFXa_!!1720491245-0-item_pic.jpg
3,aca/北美电器-AF-OR01,手持,21.28%,小容量,20.85%,婴儿辅食,20.84%,全自动,20.25%,智能,16.78%,http://img.alicdn.com/imgextra/i1/702016902/TB1oZSGuf1TBuNjy0FjXXajyXXa_!!0-item_pic.jpg
4,aca/北美电器-AHM-S300,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i3/1720491245/TB2QoqoppOWBuNjy0FiXXXFxVXa_!!1720491245-0-item_pic.jpg
5,ailhfm-小怪兽料理机,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/1588475091/TB1sftzgrsrBKNjSZFpXXcXhFXa_!!2-item_pic.png
6,amoi/夏新-TL-GB660,智能,52.36%,全自动,28.74%,婴儿辅食,22.19%,小容量,21.11%,手持,-24.41%,http://img.alicdn.com/imgextra/i1/2447836580/TB2Gpr0r_tYBeNjy1XdXXXXyVXa_!!2447836580.jpg
7,amoi/夏新-TL-GB990,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i2/2447836580/TB2j6ULnStYBeNjSspkXXbU8VXa_!!2447836580-0-item_pic.jpg
8,amoi/夏新-TL-X11,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i1/2447836580/TB2dDJBi1OSBuNjy0FdXXbDnVXa_!!2447836580.jpg
9,ashton/阿诗顿-BL-175,婴儿辅食,21.03%,小容量,21.03%,全自动,21.02%,智能,20.2%,手持,16.71%,http://img.alicdn.com/imgextra/i3/3071601281/TB2DqAomZjI8KJjSsppXXXbyVXa_!!3071601281.jpg
10,ashton/阿诗顿-EF-410D,婴儿辅食,20.93%,小容量,20.89%,全自动,20.86%,智能,19.38%,手持,17.95%,http://img.alicdn.com/imgextra/i1/2378385867/TB2Qcv.kgaTBuNjSszfXXXgfpXa_!!2378385867.jpg
11,aunt mary/玛莉阿姨-HL-1888,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i2/2938915279/TB2WcJ.ouuSBuNjy1XcXXcYjFXa_!!2938915279.jpg
12,aunt mary/玛莉阿姨-HL-1898,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i2/2938915279/TB26mnlcr1YBuNjSszhXXcUsFXa_!!2938915279.jpg
13,aux/奥克斯-HX-390,手持,21.23%,小容量,20.94%,婴儿辅食,20.9%,全自动,20.18%,智能,16.75%,http://img.alicdn.com/imgextra/i2/2047124908/TB2iIGZf26H8KJjSspmXXb2WXXa_!!2047124908.jpg
14,aux/奥克斯-HX-401G,婴儿辅食,20.94%,小容量,20.9%,全自动,20.79%,智能,19.14%,手持,18.24%,http://img.alicdn.com/imgextra/i3/1046626823/TB1ywaGcpuWBuNjSszbXXcS7FXa_!!0-item_pic.jpg
15,aux/奥克斯-HX-FS01,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i3/732062877/TB2uNO6sYSYBuNjSspfXXcZCpXa_!!732062877-0-item_pic.jpg
16,bamix-G200 350,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i2/274764304/TB2P39cmS8mpuFjSZFMXXaxpVXa_!!274764304.jpg
17,bamix-G200 G350,全自动,20.81%,婴儿辅食,20.78%,小容量,20.67%,手持,19.25%,智能,18.48%,http://img.alicdn.com/imgextra/i2/876965799/TB2wUQhsY1YBuNjSszhXXcUsFXa_!!876965799.jpg
18,bamix-M200,婴儿辅食,21.09%,小容量,21.06%,全自动,21.05%,智能,19.11%,手持,17.69%,http://img.alicdn.com/imgextra/i2/210710879/TB27bs3XcIa61Bjy0FiXXc1XpXa_!!210710879.jpg
19,bamix-OTHER,婴儿辅食,20.81%,小容量,20.72%,全自动,20.68%,手持,19.29%,智能,18.5%,http://img.alicdn.com/imgextra/i2/515942890/TB2fZajhH1YBuNjSszhXXcUsFXa_!!515942890.jpg
20,bamix-UNOLD ESGE,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i1/2829060891/TB2A.0UaYSYBuNjSspiXXXNzpXa_!!2829060891.jpg
21,barsone/朋森-BS-05L01,手持,21.23%,小容量,20.94%,婴儿辅食,20.9%,全自动,20.18%,智能,16.75%,http://img.alicdn.com/imgextra/i4/2139274692/TB24qZulLuSBuNkHFqDXXXfhVXa_!!2139274692.jpg
22,bear/小熊-JBQ-A05D2,手持,20.88%,婴儿辅食,20.58%,小容量,20.49%,全自动,19.87%,智能,18.17%,http://img.alicdn.com/imgextra/i1/2212201876/TB2apYmmL9TBuNjy1zbXXXpepXa_!!2212201876-0-item_pic.jpg
23,bear/小熊-JBQ-D05A1,小容量,21.08%,婴儿辅食,21.05%,全自动,20.74%,智能,18.87%,手持,18.25%,http://img.alicdn.com/imgextra/i2/175592270/TB2X9y7huuSBuNjy1XcXXcYjFXa_!!175592270-0-item_pic.jpg
24,bear/小熊-JBQ-D05D2,手持,27.03%,小容量,20.15%,婴儿辅食,19.89%,全自动,18.75%,智能,14.18%,http://img.alicdn.com/imgextra/i3/740969168/TB2FkhGmNBmpuFjSZFsXXcXpFXa_!!740969168.jpg
25,bear/小熊-JBQ-D131,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/335437311/TB2G2k8nFXXXXXzXpXXXXXXXXXX_!!335437311.jpg
26,bear/小熊-JBQ-D1355,手持,22.21%,婴儿辅食,22.06%,小容量,21.95%,全自动,19.12%,智能,14.66%,http://img.alicdn.com/imgextra/i4/2223303486/TB2rCNYs29TBuNjy1zbXXXpepXa_!!2223303486-0-item_pic.jpg
27,bear/小熊-LB-P919,手持,21.94%,小容量,21.16%,婴儿辅食,21.02%,全自动,20.37%,智能,15.52%,http://img.alicdn.com/imgextra/i3/263561086/TB2fgWLpGSWBuNjSsrbXXa0mVXa_!!263561086.jpg
28,bear/小熊-LB-P928,婴儿辅食,20.89%,小容量,20.81%,全自动,20.79%,手持,18.99%,智能,18.51%,http://img.alicdn.com/imgextra/i3/2020509878/TB2KWOzzbxmpuFjSZJiXXXauVXa_!!2020509878.jpg
29,bear/小熊-LLJ-A05H1,婴儿辅食,20.85%,小容量,20.78%,全自动,20.59%,手持,19.58%,智能,18.21%,http://img.alicdn.com/imgextra/i4/2248962756/TB1oNinjQOWBuNjSsppXXXPgpXa_!!0-item_pic.jpg
30,bear/小熊-LLJ-A12A1,婴儿辅食,20.62%,小容量,20.57%,全自动,19.87%,智能,19.48%,手持,19.46%,http://img.alicdn.com/imgextra/i3/695320823/TB2VjsZmQCWBuNjy0FaXXXUlXXa_!!695320823.jpg
31,bear/小熊-LLJ-A12G1,婴儿辅食,20.87%,小容量,20.76%,全自动,20.6%,手持,19.37%,智能,18.4%,http://img.alicdn.com/imgextra/i1/2454077880/TB2RXM_s_lYBeNjSszcXXbwhFXa_!!2454077880-0-item_pic.jpg
32,bear/小熊-LLJ-A12Q3,手持,24.68%,小容量,20.98%,婴儿辅食,20.95%,全自动,19.14%,智能,14.25%,http://img.alicdn.com/imgextra/i3/2086365720/TB1SIzCmV9gSKJjSspbXXbeNXXa_!!0-item_pic.jpg
33,bear/小熊-LLJ-A12W8,手持,21.29%,婴儿辅食,20.86%,小容量,20.8%,全自动,20.11%,智能,16.93%,http://img.alicdn.com/imgextra/i1/TB1VbEYJpXXXXXWaXXXXXXXXXXX_!!0-item_pic.jpg
34,bear/小熊-LLJ-B08D1,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i1/1821191022/TB1C.cznsLJ8KJjy0FnXXcFDpXa_!!0-item_pic.jpg
35,bear/小熊-LLJ-B08G2,全自动,20.63%,婴儿辅食,20.63%,小容量,20.38%,手持,19.2%,智能,19.15%,http://img.alicdn.com/imgextra/i2/2212201876/TB2MWhBor1YBuNjSszeXXablFXa_!!2212201876-0-item_pic.jpg
36,bear/小熊-LLJ-B08J5,手持,22.95%,小容量,20.84%,婴儿辅食,20.76%,全自动,20.15%,智能,15.3%,http://img.alicdn.com/imgextra/i2/TB1.GxxJXXXXXbfXpXXXXXXXXXX_!!0-item_pic.jpg
